argumentTypeId	argumentTypeName	sourceTaxonName	sourceTaxonId	sourceTaxonIds	interactionTypeName	interactionTypeId	targetTaxonName	targetTaxonId	targetTaxonIds	sourceBodyPartName	sourceBodyPartId	referenceDoi	referenceCitation
	support	Acanthamoeba castellanii	NCBI:txid5755	NCBI:txid5755|WD:Q20388586|PPSDB:Q219	host of		Aliarcobacter butzleri	NCBI:txid28197	NCBI:txid28197|WD:Q21237173|PPSDB:Q218	cytoplasm	GO:0005737	10.1007/S00203-019-01699-9	Medina, G., Leyán, P., da Silva, C. V., Flores-Martin, S., Manosalva, C. and Fernández, H. (2019). Intra-amoebic localization of Arcobacter butzleri as an endocytobiont of Acanthamoeba castellanii. Archives of Microbiology 201, 1447–1452.
	support	Acanthamoeba castellanii	NCBI:txid5755	NCBI:txid5755|WD:Q20388586|PPSDB:Q219	is killed by	RO_0002627	Candidatus Babela massiliensis	NCBI:txid673862	NCBI:txid673862|WD:Q126489909|PPSDB:Q639	cytoplasm	GO:0005737	10.1186/S13062-015-0043-Z	Pagnier, I., Yutin, N., Croce, O., Makarova, K. S., Wolf, Y. I., Benamar, S., Raoult, D., Koonin, E. V. and La Scola, B. (2015). Babela massiliensis, a representative of a widespread bacterial phylum with unusual adaptations to parasitism in amoebae. Biology Direct 10,.
	support	Acanthamoeba castellanii	NCBI:txid5755	NCBI:txid5755|WD:Q20388586|PPSDB:Q219	host of		Candidatus Protochlamydia amoebophila	NCBI:txid362787	NCBI:txid362787|WD:Q21399331|PPSDB:Q191	cytoplasm	GO:0005737	10.1128/MSYSTEMS.00202-16	König, L., Siegl, A., Penz, T., Haider, S., Wentrup, C., Polzin, J., Mann, E., Schmitz-Esser, S., Domman, D. and Horn, M. (2017). Biphasic Metabolism and Host Interaction of a Chlamydial Symbiont. mSystems 2,.
	support	Acanthamoeba castellanii	NCBI:txid5755	NCBI:txid5755|WD:Q20388586|PPSDB:Q219	host of		Candidatus Protochlamydia amoebophila	NCBI:txid362787	NCBI:txid362787|WD:Q21399331|PPSDB:Q191	cytoplasm	GO:0005737	10.1128/MBIO.00333-19	König, L., Wentrup, C., Schulz, F., Wascher, F., Escola, S., Swanson, M. S., Buchrieser, C. and Horn, M. (2019). Symbiont-Mediated Defense against Legionella pneumophila in Amoebae. mBio 10,.
	support	Acanthamoeba castellanii	NCBI:txid5755	NCBI:txid5755|WD:Q20388586|PPSDB:Q219	host of		Mycobacterium sp. ATCC BAA-2131	NCBI:txid941392	NCBI:txid941392|PPSDB:Q2233	symbiont-containing vacuole	GO:0020003	10.1111/J.1550-7408.2010.00513.X	GLASER, K. C., HETRICK, N. D. and MOLESTINA, R. E. (2010). Evidence for a Previously Unrecognized Mycobacterial Endosymbiont in Acanthamoeba castellanii Strain Ma (ATCC®50370™). Journal of Eukaryotic Microbiology 58, 75–76.
	support	Acanthamoeba castellanii	NCBI:txid5755	NCBI:txid5755|WD:Q20388586|PPSDB:Q219	host of		Mycobacterium sp. ATCC BAA-2132	NCBI:txid941393	NCBI:txid941393|PPSDB:Q2234	symbiont-containing vacuole	GO:0020003	10.1111/J.1550-7408.2010.00513.X	GLASER, K. C., HETRICK, N. D. and MOLESTINA, R. E. (2010). Evidence for a Previously Unrecognized Mycobacterial Endosymbiont in Acanthamoeba castellanii Strain Ma (ATCC®50370™). Journal of Eukaryotic Microbiology 58, 75–76.
	support	Acanthamoeba hatchetti 3ST		PPSDB:Q1636	host of		Candidatus Paracaedibacter acanthamoebae	NCBI:txid91604	NCBI:txid91604|WD:Q126489968|PPSDB:Q177	cytosol	GO:0005829	10.1016/J.EJOP.2016.04.002	Müller, A., Walochnik, J., Wagner, M. and Schmitz-Esser, S. (2016). A clinical Acanthamoeba isolate harboring two distinct bacterial endosymbionts. European Journal of Protistology 56, 21–25.
	support	Acanthamoeba hatchetti 3ST		PPSDB:Q1636	host of		Parachlamydia acanthamoebae	NCBI:txid83552	NCBI:txid83552|WD:Q7133891|PPSDB:Q194	symbiont-containing vacuole	GO:0020003	10.1016/J.EJOP.2016.04.002	Müller, A., Walochnik, J., Wagner, M. and Schmitz-Esser, S. (2016). A clinical Acanthamoeba isolate harboring two distinct bacterial endosymbionts. European Journal of Protistology 56, 21–25.
	support	Acanthamoeba polyphaga HN-3	NCBI:txid5757	NCBI:txid5757|WD:Q2531831|PPSDB:Q180	host of		Candidatus Paracaedimonas acanthamoebae	NCBI:txid244581	NCBI:txid244581|WD:Q126489971|PPSDB:Q181	cytoplasm	GO:0005737	10.1046/J.1462-2920.1999.00045.X	Horn, M., Fritsche, T. R., Gautom, R. K., Schleifer, K. and Wagner, M. (1999). Novel bacterial endosymbionts of Acanthamoeba spp. related to the Paramecium caudatum symbiont Caedibacter caryophilus. Environmental Microbiology 1, 357–367.
	support	Acanthamoeba polyphaga HN-3	NCBI:txid5757	NCBI:txid5757|WD:Q2531831|PPSDB:Q180	host of		Candidatus Paracaedimonas acanthamoebae	NCBI:txid244581	NCBI:txid244581|WD:Q126489971|PPSDB:Q181	cytoplasm	GO:0005737	10.1016/J.SYAPM.2018.01.005	Schrallhammer, M., Castelli, M. and Petroni, G. (2018). Phylogenetic relationships among endosymbiotic R-body producer: Bacteria providing their host the killer trait. Systematic and Applied Microbiology 41, 213–220.
